     4/80cen     7/81      7/82      7/83      7/84
AL    3893888   3918531   3925266   3934102   3951820
AK     401851    418491    449606    488417    513702
AZ    2718215   2810107   2889861   2968925   3067135
AR    2286435   2293201   2294257   2305761   2319768
CA   23667902  24285933  24820009  25360026  25844393
CO    2889964   2977898   3061564   3133630   3169992
CT    3107576   3128836   3139013   3162354   3180014
DE     594338    595975    599148    605458    611565
DC     638333    636893    634174    632433    633382
FL    9746324  10192774  10471407  10749851  11039925
GA    5463105   5568345   5649792   5728250   5834954
HI     964691    978195    993780   1012717   1027922
ID     943935    962204    973721    981869    990839
IL   11426518  11443458  11423412  11408818  11412132
IN    5490224   5480435   5467922   5450395   5458322
IA    2913808   2907983   2888189   2870543   2858618
KS    2363679   2384849   2401202   2415531   2424086
KY    3660777   3670394   3683445   3694484   3695453
LA    4205900   4283303   4352608   4395316   4400477
ME    1124660   1133033   1136684   1144772   1155635
MD    4216975   4261905   4282923   4313327   4365243
MA    5737037   5768685   5771222   5799407   5840773
MI    9262078   9209287   9115198   9047754   9049452
MN    4075970   4111728   4131450   4141456   4157706
MS    2520638   2539036   2556777   2567717   2578051
MO    4916686   4932064   4929451   4943733   4975278
MT     786690    795328    803986    814031    820905
NE    1569825   1578515   1581780   1584293   1588639
NV     800493    847655    881537    901977    924922
NH     920610    936621    947719    958134    976864
NJ    7364823   7407472   7430968   7467785   7515473
NM    1302894   1332748   1363823   1394361   1416717
NY   17558072  17567734  17589738  17686905  17745684
NC    5881766   5956653   6019101   6077056   6164006
ND     652717    659505    668972    676688    680497
OH   10797630  10788330  10757087  10737632  10737746
OK    3025290   3096164   3206123   3290402   3285533
OR    2633105   2667982   2664922   2653066   2666588
PA   11863895  11858567  11845146  11837723  11815172
RI     947154    953013    954170    956382    961894
SC    3121820   3179255   3207614   3234066   3271868
SD     690768    689584    690597    693008    697249
TN    4591120   4627658   4646041   4659749   4686737
TX   14229191  14746318  15331415  15751676  16007086
UT    1461037   1515471   1558314   1594943   1622342
VT     511456    515594    519109    523302    526660
VA    5346818   5444097   5492783   5564657   5643870
WA    4132156   4235731   4276552   4300266   4343656
WV    1949644   1954124   1949604   1945061   1927697
WI    4705767   4726343   4728870   4721438   4735563
WY     469557    491712    506400    510345    504896
